source,Party,weight
752010888,Movimento 5s,35
75299581,Azione - Italia Viva,13
765974953925771264,Partito Democratico,4
76616277,Partito Democratico,20
768545345223753728,Azione - Italia Viva,5
779713870877384704,Azione - Italia Viva,13
783020674952626176,Azione - Italia Viva,18
788101929977180160,Azione - Italia Viva,17
78885684,Movimento 5s,26
792793865489117184,Fratelli d'Italia,33
793367160341094400,Azione - Italia Viva,31
797374091959406592,Lega,7
81028217,Azione - Italia Viva,16
811304628348481536,Forza Italia,17
813082526248030208,Lega,7
814196049476730880,Azione - Italia Viva,6
817478283604398080,Movimento 5s,11
819652946,Alleanza Verdi Sinistra,5
820489519,Fratelli d'Italia,10
826066544878817280,Azione - Italia Viva,7
832590570925195264,Azione - Italia Viva,66
836271002,Movimento 5s,18
837129073,Azione - Italia Viva,7
840370526,Azione - Italia Viva,7
841701064118284288,Movimento 5s,17
850457504303783936,Lega,5
85143600,Partito Democratico,4
852781370,Partito Democratico,8
853916380369956864,Azione - Italia Viva,41
854504617,Alleanza Verdi Sinistra,5
857753196,Azione - Italia Viva,5
859445258362466304,Fratelli d'Italia,28
868487182524321792,Azione - Italia Viva,17
873504593719721984,Lega,7
875418074,Movimento 5s,27
875841305833869312,Partito Democratico,4
878613406022078464,Azione - Italia Viva,89
880161000,Partito Democratico,5
881137152251318272,Azione - Italia Viva,22
884023737745645568,Alleanza Verdi Sinistra,7
885105250356604928,Lega,12
886917343,Movimento 5s,26
888311462950785024,Azione - Italia Viva,45
89014481,Azione - Italia Viva,5
89647379,Lega,8
901024626402357248,Azione - Italia Viva,20
901919575188660224,Lega,9
904559376,Azione - Italia Viva,40
906331746,Azione - Italia Viva,5
912000926826815488,Azione - Italia Viva,15
913718930404990976,Fratelli d'Italia,20
920277002858500096,Forza Italia,26
923214919897681920,Partito Democratico,4
924067784,Azione - Italia Viva,5
924506620276682752,Azione - Italia Viva,7
924665834039119872,Partito Democratico,4
930194618,Azione - Italia Viva,81
934168829047042048,Azione - Italia Viva,31
938688210888249344,Azione - Italia Viva,13
941817729648156672,Lega,8
94765165,Azione - Italia Viva,8
948578516982956032,Movimento 5s,35
951545291429249024,Azione - Italia Viva,20
954090832965062656,Azione - Italia Viva,7
956218128,Azione - Italia Viva,12
959149004851417088,Lega,12
960819725856059392,Lega,10
961233370821914624,Movimento 5s,4
962692920171270144,Azione - Italia Viva,24
964460408,Partito Democratico,4
966302477162303488,Azione - Italia Viva,5
966592213,Azione - Italia Viva,56
967685017932632064,Movimento 5s,29
971075728438710272,Azione - Italia Viva,91
971283490678374400,Azione - Italia Viva,15
971323446507589632,Azione - Italia Viva,101
971365242847617024,Azione - Italia Viva,63
971444556502831104,Azione - Italia Viva,29
973190141228527616,Alleanza Verdi Sinistra,6
977184968693764096,Partito Democratico,26
986292469682855936,Partito Democratico,9
986594967043956736,Lega,147
989346433,Azione - Italia Viva,152
992686250,Partito Democratico,6
993804838705213440,Partito Democratico,10
996272602342674432,Forza Italia,11
997354591,Partito Democratico,6
999578121123848192,Movimento 5s,13
