source,Party,weight
1595228996,Azione - Italia Viva,53
1635661050,Azione - Italia Viva,42
1655253469,Alleanza Verdi Sinistra,7
1657471614,Fratelli d'Italia,70
167732599,Azione - Italia Viva,33
170024072,Partito Democratico,6
1709547350,Azione - Italia Viva,11
183287158,Azione - Italia Viva,250
1853644938,Azione - Italia Viva,7
1873172964,Azione - Italia Viva,10
18762875,Azione - Italia Viva,53
1882562786,Forza Italia,14
1886587626,Movimento 5s,228
1892890674,Azione - Italia Viva,20
1914835855,Azione - Italia Viva,105
1967099384,Partito Democratico,6
201421240,Partito Democratico,11
203054819,Partito Democratico,14
20373953,Azione - Italia Viva,17
2153812941,Movimento 5s,8
2156336219,Partito Democratico,13
215976090,Azione - Italia Viva,10
2168154778,Partito Democratico,15
2171028731,Azione - Italia Viva,52
2179869467,Azione - Italia Viva,7
2181109997,Lega,6
2184531680,Fratelli d'Italia,71
2184944111,Partito Democratico,6
2194037379,Partito Democratico,10
2201962850,Azione - Italia Viva,31
2207177382,Azione - Italia Viva,59
22127498,Fratelli d'Italia,4
2220186288,Partito Democratico,7
2223036664,Azione - Italia Viva,77
2230244965,Partito Democratico,17
2236327369,Movimento 5s,11
2243577362,Azione - Italia Viva,118
2252146516,Partito Democratico,35
225604191,Azione - Italia Viva,167
2256727137,Azione - Italia Viva,78
22659500,Azione - Italia Viva,66
2268796084,Azione - Italia Viva,121
2283375104,Azione - Italia Viva,70
229160327,Lega,166
2321981176,Azione - Italia Viva,45
2326573022,Azione - Italia Viva,213
2328729294,Azione - Italia Viva,81
2333071543,Lega,5
2333497668,Azione - Italia Viva,24
2338719661,Azione - Italia Viva,18
2346832778,Azione - Italia Viva,6
2352059977,Azione - Italia Viva,9
235323455,Partito Democratico,16
2364487620,Azione - Italia Viva,57
2367102656,Azione - Italia Viva,9
236939562,Azione - Italia Viva,44
2372115242,Partito Democratico,6
2373209560,Azione - Italia Viva,7
2378380248,Partito Democratico,90
2384116548,Partito Democratico,11
