user_id,period,comm_id,comm_label
1870754606,during,4,FdI;L;PD;NM;FI
1074572754,during,6,PD
419622371,before,4,PD;AVS
419622371,during,3,PD;AVS
419622371,after,4,PD;AVS
588975097,during,3,PD;AVS
2389507018,during,3,PD;AVS
12514212,before,4,PD;AVS
12514212,after,4,PD;AVS
496437886,before,4,PD;AVS
496437886,during,3,PD;AVS
496437886,after,6,PD;AVS
960274334035128321,during,3,PD;AVS
65872738,before,4,PD;AVS
65872738,during,3,PD;AVS
65872738,after,4,PD;AVS
216361540,before,4,PD;AVS
216361540,during,3,PD;AVS
216361540,after,6,PD;AVS
1284790982672822272,during,3,PD;AVS
322933929,during,3,PD;AVS
430169858,before,4,PD;AVS
430169858,during,6,PD
430169858,after,6,PD;AVS
35298549,before,4,PD;AVS
35298549,during,3,PD;AVS
35298549,after,6,PD;AVS
331005596,during,3,PD;AVS
532545883,before,4,PD;AVS
532545883,during,3,PD;AVS
1022254674,before,4,PD;AVS
1022254674,during,3,PD;AVS
1022254674,after,4,PD;AVS
403544693,before,4,PD;AVS
455562995,before,0,Az-Iv;L
455562995,during,0,Az-Iv
455562995,after,1,PD;Az-Iv
420332560,before,0,Az-Iv;L
420332560,during,0,Az-Iv
420332560,after,1,PD;Az-Iv
590358735,during,0,Az-Iv
560636317,before,0,Az-Iv;L
560636317,during,0,Az-Iv
560636317,after,1,PD;Az-Iv
30248306,before,0,Az-Iv;L
30248306,during,0,Az-Iv
30248306,after,1,PD;Az-Iv
2416067982,before,0,Az-Iv;L
2416067982,during,0,Az-Iv
2416067982,after,1,PD;Az-Iv
18762875,before,0,Az-Iv;L
18762875,during,0,Az-Iv
18762875,after,1,PD;Az-Iv
903723812,before,0,Az-Iv;L
903723812,during,0,Az-Iv
903723812,after,1,PD;Az-Iv
447056150,during,0,Az-Iv
447056150,after,1,PD;Az-Iv
318316637,before,8,FI
318316637,during,4,FdI;L;PD;NM;FI
318316637,after,2,FdI;FI
920277002858500096,before,8,FI
920277002858500096,during,4,FdI;L;PD;NM;FI
413217587,before,8,FI
413217587,during,4,FdI;L;PD;NM;FI
413217587,after,2,FdI;FI
499911132,during,4,FdI;L;PD;NM;FI
376610294,before,3,FdI;L
376610294,during,4,FdI;L;PD;NM;FI
376610294,after,2,FdI;FI
919526072,before,3,FdI;L
919526072,during,4,FdI;L;PD;NM;FI
919526072,after,0,FdI;L
1047059160,before,3,FdI;L
1006296722,before,3,FdI;L
1006296722,during,4,FdI;L;PD;NM;FI
1006296722,after,2,FdI;FI
1462014699797680130,during,4,FdI;L;PD;NM;FI
1462014699797680130,after,2,FdI;FI
440815818,before,3,FdI;L
440815818,during,4,FdI;L;PD;NM;FI
440815818,after,2,FdI;FI
425933041,before,5,FdI
425933041,after,2,FdI;FI
201220925,before,3,FdI;L
201220925,during,4,FdI;L;PD;NM;FI
201220925,after,2,FdI;FI
247222140,before,3,FdI;L
247222140,during,4,FdI;L;PD;NM;FI
247222140,after,2,FdI;FI
847019750,after,14,FdI
517487632,during,4,FdI;L;PD;NM;FI
1101905808,during,4,FdI;L;PD;NM;FI
418028983,before,3,FdI;L
418028983,during,4,FdI;L;PD;NM;FI
418028983,after,2,FdI;FI
214476890,during,4,FdI;L;PD;NM;FI
337767301,before,3,FdI;L
337767301,during,4,FdI;L;PD;NM;FI
337767301,after,0,FdI;L
490522414,during,4,FdI;L;PD;NM;FI
234787615,before,3,FdI;L
1051906012104540161,during,4,FdI;L;PD;NM;FI
1051906012104540161,after,0,FdI;L
3358881567,during,4,FdI;L;PD;NM;FI
270839361,before,3,FdI;L
270839361,during,4,FdI;L;PD;NM;FI
270839361,after,0,FdI;L
2266891589,after,3,M5s
3062283743,during,2,FdI;M5s
428521248,before,4,PD;AVS
428521248,during,3,PD;AVS
428521248,after,4,PD;AVS
515229378,before,4,PD;AVS
515229378,during,3,PD;AVS
376399556,before,4,PD;AVS
376399556,during,3,PD;AVS
964460408,before,4,PD;AVS
964460408,during,3,PD;AVS
964460408,after,4,PD;AVS
424473892,before,4,PD;AVS
336975968,before,4,PD;AVS
473842449,before,4,PD;AVS
473842449,during,3,PD;AVS
473842449,after,6,PD;AVS
474175425,before,4,PD;AVS
474175425,during,3,PD;AVS
474175425,after,4,PD;AVS
940499085886480384,before,4,PD;AVS
940499085886480384,during,3,PD;AVS
940499085886480384,after,1,PD;Az-Iv
1556324421794660352,during,3,PD;AVS
484982241,during,3,PD;AVS
484982241,after,6,PD;AVS
259271842,before,4,PD;AVS
259271842,during,3,PD;AVS
259271842,after,4,PD;AVS
61154684,during,3,PD;AVS
297939596,during,3,PD;AVS
587802594,during,3,PD;AVS
1288696170,before,4,PD;AVS
1288696170,during,3,PD;AVS
