user_id,community_id,most_common_party,all_parties
744828787137839104,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
253550542,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
771173647,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
971149139844255616,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
849974048,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1522452320965046272,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1402715982037147648,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
3307168918,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1551915773425291265,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
389136716,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
462295158,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
138178323,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
457674243,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
3017653138,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
3108282633,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1911013483,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1349490629324242946,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
847121852,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
817291769729654784,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1373279972559839237,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1383140323157762053,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
911959706389839872,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
818183167,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
396573515,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1393890468216377346,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
288951786,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1381492885430878210,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
2352723005,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1426094438749806596,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1552047779958194176,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
2335752723,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
2767316247,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
3226032155,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1056474218,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
385829829,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1309232012088217600,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
492868812,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
