source,target,weight,p_value
1300916262369984512,822771178112749568,9,0.011373680226682037
1300916262369984512,962333770308308992,7,0.011381621712525387
1300916262369984512,822184940,7,0.011494399616285476
1300916262369984512,2434259124,6,0.011855178798774475
1300916262369984512,1162015389288714240,6,0.012161482482087146
1300916262369984512,1384254345089142784,10,0.01228948566226672
1300916262369984512,971283490678374400,9,0.012328331517278105
1300916262369984512,456172613,6,0.012388464380849439
1300916262369984512,423048951,5,0.01244244890610647
1300916262369984512,215976090,9,0.01254322996207833
1300916262369984512,1334612474,10,0.012694805284779061
1300916262369984512,407194493,10,0.013191098154094307
1300916262369984512,502830294,6,0.013314668827924609
1300916262369984512,1150384973922349056,6,0.01335769387376785
1300916262369984512,974090952603308032,5,0.013439488646707892
1300916262369984512,2184301675,7,0.013462743344628911
1300916262369984512,1316630180,11,0.013788841050589648
1300916262369984512,1171784627461251072,8,0.01395019466126296
1300916262369984512,1228064064,8,0.014072308518654344
1300916262369984512,407820466,6,0.014105818313464715
1300916262369984512,148133850,7,0.014266625719689585
1300916262369984512,1357602783025889280,7,0.014394945637794518
1300916262369984512,4579400249,13,0.014689557928696195
1300916262369984512,513790402,7,0.014818642892310772
1300916262369984512,1082242342395043840,5,0.015303398803742992
1300916262369984512,2336750753,10,0.015383409734134717
1300916262369984512,4130639901,9,0.015435940965379006
1300916262369984512,312613461,9,0.015757472845185232
1300916262369984512,135267045,9,0.015819299625093673
1300916262369984512,618244710,14,0.015913248260625387
1300916262369984512,1458751681705951232,14,0.015913248260625387
1300916262369984512,4480481955,9,0.015953883007258602
1300916262369984512,1448659292781907968,9,0.016028404235839844
1300916262369984512,798091854768177152,5,0.0161591997290344
1300916262369984512,1130107176075321344,6,0.016576736770143315
1300916262369984512,482875004,6,0.017087530574234358
1300916262369984512,969819186443759616,8,0.01731113944839984
1300916262369984512,947015537808281600,6,0.017470503048913195
1300916262369984512,541527026,7,0.0182503445498797
1300916262369984512,499633425,6,0.018794382869672815
1300916262369984512,1231977094760091648,5,0.018874160830146838
1300916262369984512,3436897611,8,0.019043886700452827
1300916262369984512,424527918,6,0.01917459639860599
1300916262369984512,2157554042,6,0.019403273276812218
1300916262369984512,2360934099,6,0.01968879532146464
1300916262369984512,3586257136,7,0.019742656911753146
1300916262369984512,95295597,5,0.020610530781497736
1300916262369984512,920247188227284992,7,0.02071825306482787
1300916262369984512,591459578,7,0.021175409213813254
1300916262369984512,589286587,9,0.021236209391448567
1300916262369984512,1242779555527614464,5,0.021356181870880783
1300916262369984512,1278347502,8,0.02136087637358169
1300916262369984512,1735223353,13,0.02139391327200966
1300916262369984512,1429710335515181056,4,0.021741176705878676
1300916262369984512,771845959697530880,7,0.021780105177260884
1300916262369984512,1508792081808044032,8,0.021893986093253666
1300916262369984512,836271002,7,0.02203295795405934
1300916262369984512,1418266782285107200,4,0.02258772163219886
1300916262369984512,1513503047636463616,5,0.022844404669753886
1300916262369984512,2983259099,5,0.022983573700774442
1300916262369984512,1236800418304450560,8,0.02302254317922416
1300916262369984512,547863719,7,0.02334065897598282
1300916262369984512,3219225676,5,0.023729356643370555
1300916262369984512,832912356,5,0.023757264018058777
1300916262369984512,1413918667373522944,6,0.024113858633184635
1300916262369984512,1485530242575908864,5,0.025569286398370403
1300916262369984512,58052287,7,0.026012294873748946
1300916262369984512,3229172415,6,0.026710408346189565
1300916262369984512,1370529906,6,0.026823515761198794
1300916262369984512,427739699,5,0.0270624659821891
1300916262369984512,1307390346,4,0.02715113062170696
1300916262369984512,1140517423,10,0.027796958013361295
1300916262369984512,1188049140556750848,8,0.027822343372139523
1300916262369984512,1356627301811781632,5,0.027974428663693027
1300916262369984512,1040828736,7,0.02803819269195736
1300916262369984512,344093432,5,0.028147497671065624
1300916262369984512,3056842713,4,0.028147497671065624
1300916262369984512,856153486182031360,6,0.02905356269264855
1300916262369984512,452380586,5,0.029154724574618724
1300916262369984512,1946899837,4,0.02946048640642323
1300916262369984512,550849129,7,0.02963474777825996
1300916262369984512,801520165250887680,6,0.029971991152762778
1300916262369984512,4697142235,6,0.030354568065462443
