source,target,weight,p_value
1447233287060180993,1181858258182688768,15,0.0002554258700503731
1447233287060180993,113050526,18,0.0002726716921423057
1447233287060180993,3239016405,17,0.0002853272164498185
1447233287060180993,416476798,10,0.00030053439605456645
1447233287060180993,31143368,12,0.0003148853040056465
1447233287060180993,2418608285,16,0.0004274442154767385
1447233287060180993,977605577827389440,17,0.0005727295371878827
1447233287060180993,964460408,11,0.0005762076038431216
1447233287060180993,127025568,11,0.0005852158509350514
1447233287060180993,55862897,9,0.0006781128937362133
1447233287060180993,274093178,16,0.0006858406350207838
1447233287060180993,719545452,13,0.0006903279465010192
1447233287060180993,25676606,13,0.0007454553007076851
1447233287060180993,222769177,13,0.0008300692090932302
1447233287060180993,318988340,13,0.00085253798700174
1447233287060180993,1635861864,9,0.0008573617262377391
1447233287060180993,1460611925906181888,15,0.0009046895454837364
1447233287060180993,1334739001933258752,16,0.0009585315558463162
1447233287060180993,377333871,14,0.0014137590117749839
1447233287060180993,840370952,10,0.0014161040980618684
1447233287060180993,429255979,10,0.0015346009368972298
1447233287060180993,1092670394,11,0.0016377586571100858
1447233287060180993,106548241,12,0.001856597338549246
1447233287060180993,2197620432,9,0.002052905857912383
1447233287060180993,3126510327,10,0.0021227744813177973
1447233287060180993,1333148827847634688,12,0.0021613355146767733
1447233287060180993,366075134,10,0.0025603131864227386
1447233287060180993,962742501344980992,15,0.0031264247554287105
1447233287060180993,453813069,10,0.003284703019214703
1447233287060180993,1233020861915049984,10,0.0035017407656707284
1447233287060180993,1360303307919675136,7,0.0036789738444796918
1447233287060180993,701927677,15,0.0036799550430874255
1447233287060180993,1072167411984551936,11,0.0037406651616323306
1447233287060180993,1059877728,7,0.0038568252370926657
1447233287060180993,920350887779950592,10,0.004148119901524976
1447233287060180993,1000480351905632384,8,0.00438640984840157
1447233287060180993,1084076649367437184,10,0.004586229241834773
1447233287060180993,452010658,22,0.005080700591030525
1447233287060180993,977383349235961600,17,0.005240328540453493
1447233287060180993,100610543,8,0.005328759450289041
1447233287060180993,1491739653006929920,12,0.005576120649060657
1447233287060180993,3290918512,9,0.0060703023634845355
1447233287060180993,1483498316012863488,12,0.006504651148054933
